,depth_ask_price_1,depth_ask_price_10,depth_ask_price_11,depth_ask_price_12,depth_ask_price_13,depth_ask_price_14,depth_ask_price_15,depth_ask_price_16,depth_ask_price_17,depth_ask_price_18,depth_ask_price_19,depth_ask_price_2,depth_ask_price_20,depth_ask_price_3,depth_ask_price_4,depth_ask_price_5,depth_ask_price_6,depth_ask_price_7,depth_ask_price_8,depth_ask_price_9,depth_ask_quantity_1,depth_ask_quantity_10,depth_ask_quantity_11,depth_ask_quantity_12,depth_ask_quantity_13,depth_ask_quantity_14,depth_ask_quantity_15,depth_ask_quantity_16,depth_ask_quantity_17,depth_ask_quantity_18,depth_ask_quantity_19,depth_ask_quantity_2,depth_ask_quantity_20,depth_ask_quantity_3,depth_ask_quantity_4,depth_ask_quantity_5,depth_ask_quantity_6,depth_ask_quantity_7,depth_ask_quantity_8,depth_ask_quantity_9,depth_bid_price_1,depth_bid_price_10,depth_bid_price_11,depth_bid_price_12,depth_bid_price_13,depth_bid_price_14,depth_bid_price_15,depth_bid_price_16,depth_bid_price_17,depth_bid_price_18,depth_bid_price_19,depth_bid_price_2,depth_bid_price_20,depth_bid_price_3,depth_bid_price_4,depth_bid_price_5,depth_bid_price_6,depth_bid_price_7,depth_bid_price_8,depth_bid_price_9,depth_bid_quantity_1,depth_bid_quantity_10,depth_bid_quantity_11,depth_bid_quantity_12,depth_bid_quantity_13,depth_bid_quantity_14,depth_bid_quantity_15,depth_bid_quantity_16,depth_bid_quantity_17,depth_bid_quantity_18,depth_bid_quantity_19,depth_bid_quantity_2,depth_bid_quantity_20,depth_bid_quantity_3,depth_bid_quantity_4,depth_bid_quantity_5,depth_bid_quantity_6,depth_bid_quantity_7,depth_bid_quantity_8,depth_bid_quantity_9,kline_base_volume,kline_close_price,kline_high_price,kline_low_price,kline_open_price,kline_quote_volume,kline_taker_base_volume,kline_taker_quote_volume,kline_time_since_update,kline_trade_number,kline_update_time
2020-04-02 15:28:07.413596,6696.01,6697.11,6697.13,6697.14,6697.75,6697.76,6697.77,6697.83,6697.91,6697.98,6698.0,6696.16,6698.27,6696.17,6696.3,6696.31,6696.35,6696.41,6696.71,6697.04,0.143699,0.008887,0.152544,0.013502,0.2,0.224076,0.086682,1.738004,0.020115,0.002255,0.660248,2.029099,0.303,0.004859,0.403068,0.147889,4.0,0.413458,4.0,0.29994,6695.19,6693.39,6693.16,6693.15,6693.1,6693.0,6692.99,6692.98,6692.6,6692.59,6692.34,6695.18,6692.32,6695.17,6694.85,6694.84,6694.13,6694.08,6693.43,6693.42,0.197326,3.9,0.594231,0.069135,0.525025,0.197892,0.189413,0.026542,0.499955,0.498298,0.25,0.14795,0.303,0.004418,0.143699,0.002986,0.125051,0.109998,1.000026,0.0425,22.407906,6696.16,6697.13,6692.11,6692.11,150007.35347199,13.169766,88166.56809805,7413.550048828125,333.0,1585830479999.0
2020-04-02 15:28:08.508098,6695.74,6697.11,6697.13,6697.14,6697.31,6697.75,6697.76,6697.77,6697.83,6697.91,6697.98,6695.75,6698.0,6696.02,6696.24,6696.25,6696.35,6696.41,6696.71,6696.78,0.163495,0.008887,0.152544,0.013502,0.29994,0.287511,0.224076,0.086682,1.738004,0.020115,0.002255,4.0,0.660248,0.097843,2.095499,0.343098,4.0,0.413458,4.0,0.00228,6694.84,6693.22,6693.15,6693.1,6693.0,6692.99,6692.98,6692.6,6692.59,6692.32,6692.22,6694.44,6692.12,6694.43,6694.42,6693.46,6693.45,6693.44,6693.39,6693.23,0.002986,0.25,0.069135,0.525025,0.197892,0.189413,0.026542,0.499955,0.498298,0.303,0.298046,0.147849,0.055,0.143699,0.004149,1.000099,0.109998,0.312489,3.9,0.319137,22.407906,6696.16,6697.13,6692.11,6692.11,150007.35347199,13.169766,88166.56809805,8508.03955078125,333.0,1585830479999.0
2020-04-02 15:28:09.606566,6695.72,6697.13,6697.14,6697.31,6697.76,6697.77,6697.83,6697.91,6697.98,6698.0,6698.3,6695.73,6698.36,6695.75,6696.0,6696.4,6696.41,6696.71,6696.78,6697.11,0.087511,0.152544,0.013502,0.29994,0.224076,0.086682,1.738004,0.020115,0.002255,0.630248,0.149388,0.2,0.288,4.0,0.03,0.269018,0.413458,4.0,0.00228,0.008887,6694.84,6693.15,6693.1,6693.0,6692.99,6692.98,6692.95,6692.61,6692.6,6692.59,6692.32,6694.53,6692.22,6694.5,6693.54,6693.45,6693.44,6693.39,6693.25,6693.24,0.001151,0.069135,0.525025,0.197892,0.189413,0.026542,0.25,0.2,0.499955,0.498298,0.303,0.193727,0.298046,0.358121,0.422502,0.109998,0.312489,3.9,0.111652,0.0425,22.407906,6696.16,6697.13,6692.11,6692.11,150007.35347199,13.169766,88166.56809805,9606.385009765625,333.0,1585830479999.0
2020-04-02 15:28:10.698523,6695.52,6697.11,6697.13,6697.14,6697.3,6697.31,6697.7,6697.76,6697.77,6697.83,6697.91,6695.53,6697.98,6696.36,6696.37,6696.41,6696.68,6696.69,6696.71,6696.78,4.0,0.008887,0.152544,0.013502,0.2,0.29994,0.300202,0.224076,0.086682,1.738004,0.020115,0.004855,0.002255,0.415326,0.001835,0.413458,1.000034,0.019449,4.0,0.00228,6694.89,6693.39,6693.25,6693.24,6693.15,6693.1,6693.0,6692.99,6692.98,6692.95,6692.61,6694.84,6692.6,6694.67,6694.59,6694.06,6694.05,6693.58,6693.57,6693.4,0.004837,3.9,0.11167,0.0425,0.069135,0.525025,0.197892,0.189413,0.026542,0.25,0.2,0.111148,0.499955,0.19299,0.238744,0.300231,0.300202,0.115028,0.109998,1.000031,22.407906,6696.16,6697.13,6692.11,6692.11,150007.35347199,13.169766,88166.56809805,10697.885009765625,333.0,1585830479999.0
2020-04-02 15:28:11.829827,6695.27,6696.71,6696.78,6697.11,6697.13,6697.14,6697.3,6697.31,6697.76,6697.77,6697.83,6695.28,6697.91,6695.52,6695.94,6695.95,6696.37,6696.67,6696.68,6696.69,0.284012,4.0,0.00228,0.008887,0.152544,0.013502,0.2,0.29994,0.224076,0.086682,1.738004,0.003865,0.020115,3.99773,0.413499,0.413458,0.001835,0.087511,1.000034,0.019449,6694.94,6693.1,6693.0,6692.99,6692.98,6692.81,6692.8,6692.63,6692.62,6692.61,6692.6,6694.41,6692.33,6693.52,6693.51,6693.5,6693.41,6693.25,6693.24,6693.15,0.095294,0.525025,0.197892,0.189413,0.026542,0.250044,0.25,1.000045,0.498298,0.2,0.499955,0.004276,0.303046,0.410242,0.109998,0.300202,0.312489,0.111678,0.0425,0.069135,22.407906,6696.16,6697.13,6692.11,6692.11,150007.35347199,13.169766,88166.56809805,11828.673095703125,333.0,1585830479999.0
2020-04-02 15:28:12.959326,6696.88,6697.91,6697.98,6698.0,6698.24,6698.27,6698.4,6698.53,6698.54,6698.55,6698.73,6697.12,6698.82,6697.13,6697.14,6697.28,6697.4,6697.7,6697.77,6697.9,0.149398,0.020115,0.002255,0.630248,0.353246,0.353162,0.031328,0.220712,0.203544,0.017083,0.004478,2.24177,1.000081,0.105304,0.013502,0.269087,0.004159,0.086762,0.086682,0.68269,6696.47,6695.14,6695.09,6695.01,6695.0,6694.17,6693.75,6693.41,6693.15,6693.1,6693.0,6696.36,6692.99,6696.28,6696.04,6696.0,6695.94,6695.61,6695.53,6695.34,4.00493,0.306,0.25,0.499955,0.238729,0.2,0.3,0.312489,0.069135,0.525025,0.197892,0.149758,0.189413,0.188732,0.060086,0.03,4.0,0.300202,0.109998,0.498298,22.407906,6696.16,6697.13,6692.11,6692.11,150007.35347199,13.169766,88166.56809805,12958.316650390625,333.0,1585830479999.0
2020-04-02 15:28:14.073879,6696.53,6697.14,6697.15,6697.75,6697.77,6697.91,6697.96,6697.98,6698.0,6698.4,6698.47,6696.64,6698.54,6696.65,6696.75,6696.78,6696.8,6696.86,6696.88,6697.13,2.245505,0.013502,0.02562,0.353162,0.086682,0.020115,0.300202,0.002255,0.660248,0.031328,0.306259,0.299972,0.003544,0.29994,0.806036,0.2,4.0,4.003912,0.149398,0.105304,6696.52,6693.15,6693.1,6693.0,6692.99,6692.98,6692.57,6692.56,6692.36,6692.33,6692.32,6695.11,6692.23,6694.44,6694.02,6694.01,6694.0,6693.3,6693.2,6693.16,1.6e-05,0.069135,0.525025,0.196247,0.189413,0.026542,0.250035,0.25,0.80297,0.499955,0.303,0.003207,0.498298,0.20268,0.14002,0.109998,0.03,0.76251,0.512489,0.055,22.407906,6696.16,6697.13,6692.11,6692.11,150007.35347199,13.169766,88166.56809805,14073.368896484375,333.0,1585830479999.0
2020-04-02 15:28:15.207498,6695.73,6696.84,6697.13,6697.14,6697.15,6697.77,6697.9,6697.91,6697.98,6698.0,6698.4,6695.81,6698.54,6696.19,6696.23,6696.33,6696.52,6696.77,6696.78,6696.8,0.004232,0.300202,0.105304,0.013502,0.02562,0.086682,0.087511,0.020115,0.002255,0.660248,0.031328,0.288238,0.003544,2.226056,0.353162,0.051152,0.001627,0.896074,0.2,4.0,6695.21,6693.42,6693.31,6693.2,6693.15,6693.1,6693.0,6692.99,6692.98,6692.81,6692.8,6695.0,6692.4,6694.96,6694.85,6694.82,6694.43,6694.02,6694.01,6693.43,1.0,0.300202,0.0425,0.312489,0.069135,0.525025,0.196247,0.189413,0.026542,0.250071,0.25,0.003527,1.000073,0.208013,0.002986,0.099148,0.23875,0.060072,0.109998,0.30027,22.407906,6696.16,6697.13,6692.11,6692.11,150007.35347199,13.169766,88166.56809805,15206.35986328125,333.0,1585830479999.0
2020-04-02 15:28:16.353224,6696.51,6697.44,6697.62,6697.63,6697.76,6697.77,6697.88,6697.91,6697.98,6697.99,6698.0,6696.52,6698.4,6696.69,6696.74,6697.12,6697.13,6697.14,6697.15,6697.43,2.242649,0.353162,0.299969,0.29994,0.086712,0.086682,0.2,0.020115,0.002255,0.630279,0.630248,0.004916,0.031328,0.051192,0.051152,0.144439,0.105304,0.013502,0.02562,0.353176,6695.5,6694.07,6694.06,6694.0,6693.8,6693.79,6693.77,6693.73,6693.18,6693.17,6693.15,6695.3,6693.1,6695.18,6695.17,6695.05,6695.02,6695.0,6694.83,6694.82,0.003158,0.330228,0.300202,0.03,0.621572,0.0425,0.312489,0.309,0.794249,0.2,0.069135,0.002986,0.525025,0.135659,0.189862,0.134027,0.095491,0.143238,0.099192,0.099148,22.407906,6696.16,6697.13,6692.11,6692.11,150007.35347199,13.169766,88166.56809805,16353.0751953125,333.0,1585830479999.0
2020-04-02 15:28:17.471481,6696.42,6697.62,6697.63,6697.76,6697.77,6697.9,6697.91,6697.98,6698.0,6698.4,6698.54,6696.55,6698.55,6697.12,6697.13,6697.14,6697.15,6697.41,6697.42,6697.44,0.2,0.29995,0.29994,0.086693,0.086682,0.65263,0.020115,0.002255,0.660248,0.031328,0.003544,0.003496,0.017083,0.144522,0.105304,0.013502,0.02562,0.44077,0.087511,0.353162,6695.83,6693.79,6693.77,6693.18,6693.17,6693.15,6693.1,6693.08,6693.0,6692.99,6692.98,6695.59,6692.81,6695.54,6695.48,6695.3,6695.02,6694.83,6693.84,6693.83,1.0,0.0425,0.312489,0.794249,0.2,0.069135,0.525025,0.44372,0.196247,0.189413,0.026542,0.200371,0.250014,0.00418,0.132095,0.002986,0.095491,0.09915,1.00002,0.998253,22.407906,6696.16,6697.13,6692.11,6692.11,150007.35347199,13.169766,88166.56809805,17470.38037109375,333.0,1585830479999.0
